Category,Name,Description,Price (USD),Image URL
Classic Roses,Rose Elegance Bouquet,"Luxurious, generous bouquet of 18, red long stem roses.",102.99,
Classic Roses,Mixed Rose Bouquet,"Majestic bouquet of 36 seasonal, mixed color, long-stem roses.",194.99,
Classic Roses,Classic Red Rose Bouquet,"Classic bouquet of 12 elegant, red, long-stem roses.",51.99,
Classic Roses,Blue Rose Bouquet,"Stunning, electric blue long-stem roses that will definitely catch some attention.",68.99,
Signature Bouquets,Daydream Bouquet,"Gorgeous spray of blush-colored roses and delicate purple-hued asters, daisies, and carnations with greens in a glass vase.",85.99,
Signature Bouquets,Mixed Tulips with Vase,Beautiful spring tulips and sunny daisies in an elegant glass vase.,62.99,
Signature Bouquets,Hand Wrapped Bouquet,"Thoughtful, wrapped bouquet of seasonal blooms and roses hand-selected by our floral designers. Perfect gift to let someone know you&apos;re thinking of them.",74.99,
Signature Bouquets,Sunflower Bouquet,"Bright bunch of showy, bright sunflowers with mixed spring blooms.",74.99,
Signature Bouquets,Loving Sentiments Bouquet,Snowy white roses with delicate blue and white alstroemerias and greens.,74.99,
Signature Bouquets,Sunshine Bouquet,Sunny arrangement of bright yellow roses and seasonal yellow blooms.,77.99,
Signature Bouquets,Classic All White Arrangement,"Pristine white roses, white stargazer lilies and white stock in an elegant glass vase.",79.99,
Signature Bouquets,Country Pearl Bouquet,"Lush arrangement with cream roses, silver dollar eucalyptus, mums and purple globe amaranth.",85.99,
Signature Bouquets,Amazing Mom Floral Basket,Blue-colored roses and stargazer lilies with dollar eucalyptus and seasonal wildflowers in an elegant glass vase.,119.99,
Signature Bouquets,Mixed Floral Bouquet,"Delightful spray of mixed seasonal blooms, roses, and greens wrapped in paper.",39.99,
Signature Bouquets,Easter Flower Basket,"Springtime bouquet with pastel mixed roses, daisies, carnations, seasonal blooms, baby&apos;s breath and greens.",62.99,
Potted Plants and Flowers,White Phalaenopsis Orchid,Elegant stems and clusters of vibrant white orchid blooms in a glass planter.,74.99,
Potted Plants and Flowers,Double Orchid Plant,Two majestic mini orchids in a glass planter.,97.99,
Potted Plants and Flowers,Pink Kalanchoe Plant,"Showy, tropical, succulent plant with bright, colorful blooms.",51.99,
Potted Plants and Flowers,Peace Lily Plant,"A perfect gift, this plant is prized for its easy care, glossy foliage, unique flowers, and low light tolerance.",51.99,
Gifts and Extras,Small Teddy Bear,Send an adorable plush teddy to show them you&apos;re thinking of them.,51.99,
Gifts and Extras,Table Centerpieces,Let us create an elegant or romantic centerpiece for your next special occasion or gathering. Our expert floral designer can create something special to set just the right tone.,74.99,
