Category,Name,Description,Price (USD),Image URL
Classic Roses,Rose Elegance Bouquet,"Luxurious, generous bouquet of 18, red long stem roses.",102.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/1874d9f7-5a4d-40d3-bf8d-c03d7c5780a6-retina-large.jpg"
Classic Roses,Mixed Rose Bouquet,"Majestic bouquet of 36 seasonal, mixed color, long-stem roses.",194.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/76d0f012-3179-4bb1-b020-6a3cb0de3317-retina-large.jpg"
Classic Roses,Classic Red Rose Bouquet,"Classic bouquet of 12 elegant, red, long-stem roses.",51.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/7558b2eb-0ef6-4ee6-bbe0-14118a99afa8-retina-large.jpg"
Classic Roses,Blue Rose Bouquet,"Stunning, electric blue long-stem roses that will definitely catch some attention.",68.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/5689544d-0e74-4d89-903a-ca94711239d6-retina-large.jpg"
Signature Bouquets,Daydream Bouquet,"Gorgeous spray of blush-colored roses and delicate purple-hued asters, daisies, and carnations with greens in a glass vase.",85.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/f196a55e-b198-49dc-a7e4-ea847d631670-retina-large.jpg"
Signature Bouquets,Mixed Tulips with Vase,Beautiful spring tulips and sunny daisies in an elegant glass vase.,62.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/8ce630f2-77eb-47fa-b247-fb525acdd64c-retina-large.jpg"
Signature Bouquets,Hand Wrapped Bouquet,"Thoughtful, wrapped bouquet of seasonal blooms and roses hand-selected by our floral designers. Perfect gift to let someone know you&apos;re thinking of them.",74.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3a39001c-577e-41ee-8344-9382e9b496a8-retina-large.jpg"
Signature Bouquets,Sunflower Bouquet,"Bright bunch of showy, bright sunflowers with mixed spring blooms.",74.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/54c42ff6-aa74-422e-a5ad-368bd1548936-retina-large.jpg"
Signature Bouquets,Loving Sentiments Bouquet,Snowy white roses with delicate blue and white alstroemerias and greens.,74.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/19f9bdb3-0c72-47d5-b937-780b8d7e1352-retina-large.jpg"
Signature Bouquets,Sunshine Bouquet,Sunny arrangement of bright yellow roses and seasonal yellow blooms.,77.99,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/c51ffd47-524a-421a-97ac-3989a8f51936-retina-large.jpg"
